location_id,location_name,lat,lon,geo_source
4a0a0b11-5a2a-46c7-b709-be07c03f6fb2,Hyatt Place Chicago - Medical / University District,41.8738446,-87.6727075,nominatim
e6a9c15e-5cbd-426f-be63-67e26cdc1860,Hyatt Place Chicago/Downtown-The Loop,41.8827773,-87.6356486,nominatim
6cca4736-63f4-4a7f-b71b-be746ff8a068,Hyatt Regency,41.8874806,-87.6228364,nominatim
83423881-a11f-48f0-814d-266668071b17,Hyatt Regency McCormick Place,41.8519722,-87.6179615,nominatim
aa5afcf1-8a6f-4c19-a492-bbd302e1fd97,Island Party Hut,41.8879953,-87.6197841,nominatim
76231451-71c1-4913-a88d-5e7fbba20bf5,JW Marriott,41.879266,-87.6330277,nominatim
bdf89f72-fa5a-4eb4-9564-e958db6bbac0,Jane Addams Memorial Park,41.8925422,-87.612678,nominatim
493862ce-28cd-4fe3-99ec-ebc8911fa07c,Kasama,41.8996921,-87.6756548,nominatim
0d495ac6-0b15-465f-a5a2-5786567b9f88,Kimpton Gray,41.8808506,-87.6317624,nominatim
002bef51-0b5d-4a9b-b04b-818a9cd9d1fc,Kingston Mines,41.928708,-87.6492146,nominatim
4011b915-7580-48ef-9a44-fd2e17713b22,Kinzie,41.8890782,-87.6394928,nominatim
8b5fad17-43c4-47e2-80a3-fb39b631333b,L7 by Lotte,41.8864913,-87.6260067,firecrawl+nominatim
fdd78cdf-92af-4497-acc8-0d48d0d451ae,La Quinta Inn & Suites by Wyndham Chicago Downtown,41.8815472,-87.6350782,nominatim
e669031a-333b-40af-bc8d-4d6f0de19512,Langham,41.8884239,-87.6275117,nominatim
474f8583-85d9-4747-bfe2-5fa04da99521,Le Meridien Essex,41.8717007,-87.6247523,nominatim
497b3804-7683-47ce-b80b-918bba77d900,Legal Sea Foods,41.8878859,-87.6290756,nominatim
7f85d039-6d56-4b3b-bfc6-5e7be75a66e3,Level Old Town,41.9035671,-87.6350261,firecrawl+nominatim
e15bc868-64a8-4545-a686-cdfc4b47304a,Level River North,41.8913106,-87.6378557,firecrawl+nominatim
61768a34-2c0f-45d4-9905-974768fb63ec,Lincoln Park Zoo,41.9212558,-87.6337656,nominatim
4eccac9d-8e60-4c8a-908c-43525f504183,Lizzie McNeil's,41.8865558,-87.6250085,known_address+nominatim
bcc3dcec-87ce-4e0f-a20b-384b990e19b7,Loews,41.8899672,-87.6188329,nominatim
5e9d09c4-ace3-4d87-9e6d-7b0cc5e844fb,LondonHouse,41.8879709,-87.625064,firecrawl+nominatim
fbac8988-3403-49f1-a8c0-bb30bbf46c8a,Lou Malnati's,41.9607177,-87.6835958,nominatim
70b5a14e-2929-4a35-8e6c-682c14adb4ae,Lou Malnati's,41.9607177,-87.6835958,nominatim
645a1c01-9051-4ef4-939b-a92521c4abe6,Lou Malnati's,41.9607177,-87.6835958,nominatim
5f80e827-2e15-40f7-b873-1963d407d632,Lyric Opera of Chicago,41.8815652,-87.6375249,firecrawl+nominatim
