config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.229498,0.273,0.421,0.218,0.024,0.0,0.064
random,0.22944,0.15,0.28,0.03,0.28,0.092,0.168
random,0.229402,0.397,0.339,0.037,0.076,0.008,0.143
random,0.22936,0.331,0.113,0.161,0.329,0.025,0.042
random,0.22931,0.691,0.044,0.072,0.181,0.011,0.002
random,0.229262,0.176,0.714,0.074,0.023,0.001,0.013
random,0.229188,0.282,0.07,0.265,0.299,0.052,0.032
random,0.229175,0.053,0.091,0.053,0.718,0.007,0.078
random,0.229095,0.159,0.347,0.069,0.225,0.073,0.126
random,0.229083,0.281,0.111,0.227,0.265,0.074,0.041
random,0.229005,0.504,0.365,0.004,0.038,0.005,0.084
random,0.228851,0.088,0.058,0.153,0.628,0.074,0.0
random,0.228841,0.231,0.159,0.064,0.27,0.089,0.188
random,0.228818,0.212,0.147,0.138,0.284,0.097,0.123
random,0.228807,0.28,0.358,0.122,0.117,0.038,0.086
random,0.228797,0.202,0.174,0.069,0.238,0.196,0.12
random,0.228766,0.339,0.327,0.047,0.136,0.006,0.145
random,0.228458,0.408,0.242,0.041,0.293,0.006,0.009
random,0.22842,0.282,0.044,0.096,0.24,0.204,0.133
random,0.228337,0.252,0.073,0.191,0.366,0.089,0.029
random,0.228299,0.465,0.007,0.038,0.438,0.011,0.042
random,0.228195,0.447,0.044,0.004,0.39,0.022,0.093
random,0.228172,0.334,0.02,0.152,0.216,0.165,0.113
random,0.228127,0.274,0.103,0.094,0.221,0.189,0.119
random,0.228077,0.586,0.136,0.069,0.085,0.073,0.05
random,0.228067,0.297,0.043,0.218,0.396,0.041,0.006
random,0.228062,0.136,0.365,0.02,0.295,0.059,0.125
random,0.228049,0.306,0.184,0.177,0.16,0.126,0.048
random,0.228011,0.679,0.104,0.017,0.152,0.019,0.029
random,0.227925,0.515,0.355,0.005,0.004,0.034,0.087
random,0.227918,0.445,0.193,0.155,0.19,0.008,0.009
random,0.227843,0.264,0.267,0.019,0.148,0.127,0.175
random,0.227835,0.258,0.057,0.178,0.369,0.101,0.036
random,0.22776,0.463,0.22,0.077,0.093,0.017,0.13
random,0.227702,0.403,0.002,0.139,0.351,0.028,0.077
random,0.227699,0.244,0.423,0.006,0.113,0.001,0.213
random,0.227683,0.077,0.144,0.104,0.513,0.115,0.046
random,0.227671,0.693,0.028,0.057,0.158,0.049,0.016
random,0.227592,0.44,0.146,0.048,0.302,0.055,0.009
random,0.227571,0.158,0.232,0.057,0.324,0.061,0.168
random,0.227442,0.356,0.087,0.161,0.276,0.102,0.018
random,0.227426,0.461,0.19,0.032,0.086,0.095,0.136
random,0.227425,0.427,0.059,0.078,0.279,0.05,0.106
random,0.227403,0.4,0.313,0.008,0.117,0.09,0.072
random,0.227399,0.123,0.467,0.072,0.179,0.034,0.126
random,0.22737,0.694,0.101,0.038,0.011,0.153,0.004
random,0.227363,0.442,0.016,0.127,0.317,0.08,0.018
random,0.227319,0.431,0.019,0.025,0.24,0.092,0.193
random,0.227221,0.187,0.112,0.003,0.346,0.106,0.247
random,0.22722,0.23,0.03,0.058,0.55,0.119,0.014
random,0.227205,0.209,0.432,0.109,0.143,0.025,0.082
random,0.227202,0.145,0.425,0.253,0.126,0.007,0.045
random,0.227077,0.473,0.047,0.086,0.239,0.077,0.078
random,0.227029,0.15,0.377,0.143,0.165,0.161,0.005
random,0.226996,0.266,0.358,0.157,0.139,0.006,0.075
random,0.226983,0.71,0.119,0.034,0.037,0.075,0.024
random,0.226982,0.229,0.027,0.209,0.414,0.102,0.019
random,0.226977,0.207,0.171,0.073,0.183,0.163,0.203
random,0.226977,0.334,0.047,0.198,0.323,0.097,0.001
random,0.22693,0.133,0.543,0.113,0.009,0.134,0.068
random,0.226913,0.234,0.071,0.159,0.346,0.107,0.082
random,0.226882,0.202,0.139,0.263,0.341,0.052,0.003
random,0.226836,0.323,0.141,0.081,0.246,0.023,0.186
random,0.226794,0.312,0.074,0.078,0.205,0.215,0.115
random,0.226759,0.353,0.056,0.16,0.195,0.159,0.077
random,0.226689,0.221,0.195,0.229,0.324,0.0,0.03
content_heavy,0.226689,0.5,0.15,0.1,0.1,0.05,0.1
random,0.226625,0.584,0.112,0.03,0.069,0.1,0.106
random,0.226598,0.205,0.345,0.096,0.206,0.006,0.142
random,0.226598,0.134,0.007,0.119,0.6,0.013,0.128
random,0.226474,0.501,0.111,0.063,0.127,0.086,0.112
random,0.22647,0.568,0.0,0.059,0.157,0.034,0.181
random,0.226437,0.205,0.141,0.189,0.286,0.13,0.049
random,0.226379,0.779,0.001,0.019,0.102,0.087,0.011
random,0.226372,0.239,0.333,0.062,0.174,0.017,0.174
random,0.226322,0.285,0.047,0.073,0.304,0.171,0.12
random,0.226319,0.62,0.122,0.086,0.068,0.064,0.041
random,0.226296,0.61,0.224,0.001,0.107,0.035,0.023
random,0.226287,0.049,0.081,0.126,0.692,0.04,0.012
random,0.226282,0.344,0.053,0.07,0.322,0.134,0.077
random,0.226261,0.234,0.431,0.131,0.089,0.021,0.094
random,0.226252,0.444,0.329,0.146,0.02,0.037,0.024
random,0.226236,0.481,0.278,0.052,0.045,0.116,0.028
random,0.22623,0.291,0.096,0.016,0.416,0.143,0.037
random,0.226206,0.309,0.083,0.239,0.304,0.054,0.012
random,0.226204,0.296,0.168,0.021,0.271,0.13,0.113
random,0.226162,0.507,0.022,0.078,0.333,0.001,0.06
random,0.226155,0.248,0.294,0.046,0.172,0.073,0.167
random,0.226145,0.143,0.176,0.158,0.411,0.03,0.083
random,0.226137,0.545,0.026,0.138,0.196,0.088,0.007
random,0.226135,0.657,0.049,0.003,0.102,0.096,0.094
random,0.226074,0.263,0.002,0.026,0.271,0.194,0.245
random,0.226073,0.153,0.634,0.004,0.054,0.045,0.11
random,0.226058,0.697,0.066,0.083,0.087,0.062,0.006
random,0.226035,0.346,0.002,0.168,0.266,0.061,0.157
random,0.225977,0.211,0.353,0.118,0.017,0.2,0.101
random,0.225969,0.408,0.354,0.03,0.063,0.136,0.009
random,0.225962,0.478,0.219,0.005,0.175,0.115,0.009
random,0.225921,0.369,0.259,0.047,0.215,0.064,0.046
random,0.225907,0.357,0.318,0.206,0.077,0.0,0.041
random,0.225757,0.302,0.22,0.023,0.232,0.151,0.073
random,0.225732,0.372,0.22,0.062,0.21,0.002,0.134
random,0.225709,0.417,0.24,0.009,0.273,0.016,0.045
random,0.225685,0.426,0.19,0.117,0.165,0.022,0.079
random,0.225661,0.724,0.039,0.071,0.082,0.08,0.005
random,0.22564,0.41,0.006,0.005,0.491,0.084,0.004
random,0.22562,0.277,0.039,0.017,0.441,0.022,0.204
random,0.225585,0.593,0.084,0.059,0.112,0.023,0.128
random,0.225564,0.511,0.003,0.002,0.369,0.003,0.112
random,0.225548,0.611,0.119,0.044,0.148,0.065,0.014
